_id,user,text,type,deleted,createdAt,updatedAt,__v,status_verified,status_sentCount
64037ce3ebf94a1563bc6a08,6401ebe87a58d8cce34e0308,I have two funny cats.,cat,False,2023-03-04T17:16:19.350Z,2023-03-04T17:16:19.350Z,0,,0
62b08c2b7ba56cc1ff7185a5,62a873ca47a75f7c3fb4235e,A1213.,cat,False,2022-06-20T15:03:07.929Z,2022-06-20T15:03:07.929Z,0,,0
6486e9686cb747437939aac5,64775e3bdce8b01234b5ddbc,FFFFFFFFFFFFFFFFFFFF.,cat,False,2023-06-12T09:46:16.178Z,2023-06-12T09:46:16.178Z,0,,0
62b88640120f313597a6409b,62b6ca5bfe1d71746da7030d,New facts about cats - 3.,cat,False,2022-06-26T16:16:00.879Z,2022-06-26T16:16:00.879Z,0,,0
6436664d6c823f4f6e5ad486,642fee0fd56bfe7a06ce6788,Алдшито.,cat,False,2023-04-12T08:05:33.555Z,2023-04-12T08:05:33.555Z,0,,0
619a126690c09bc73c9109c3,60962b7703586f0017f63929,Cats are good.,cat,False,2021-11-21T09:33:26.195Z,2021-11-21T09:33:26.195Z,0,,0
626c8ecc41f4aa428ac21c77,6263383cf782346dbf665fb1,655479.,cat,False,2022-04-30T01:20:12.285Z,2022-04-30T01:20:12.285Z,0,,0
64364dfe6c823f4f6e5aa717,642fee0fd56bfe7a06ce6788,%%%%%??&&&&&.,cat,False,2023-04-12T06:21:50.412Z,2023-04-12T06:21:50.412Z,0,,0
6486f1c16cb747437939b381,64775e3bdce8b01234b5ddbc,Корректно отображается в Chrome.,cat,False,2023-06-12T10:21:53.796Z,2023-06-12T10:21:53.796Z,0,,0
640e043e59ce917bc0d1c1ea,63fc98fc281e7bd8f2c43612,Ёёёёёёёё.,cat,False,2023-03-12T16:56:30.834Z,2023-03-12T16:56:30.834Z,0,,0
6268be554514425908fd15db,62651ae9b09884b2f2975dae,About cat.,cat,False,2022-04-27T03:53:57.091Z,2022-04-27T03:53:57.091Z,0,,0
63c99b099ad43a5228fd5b7a,63bd1572cb93232c7353b865,13456789776543 Yelena Yelena check.,cat,False,2023-01-19T19:33:29.088Z,2023-01-19T19:33:29.088Z,0,,0
645e5b6eb7dbfe768c634bb0,645138f8707749c65ca2a34c,Eat.,cat,False,2023-05-12T15:29:50.224Z,2023-05-12T15:29:50.224Z,0,,0
63cc68f8eec42e60ec328a57,63c15de69dd5b79e64cfb2a7,МОРОЖЕНОЕ ВКУСНОЕ.,cat,False,2023-01-21T22:36:40.274Z,2023-01-21T22:36:40.274Z,0,,0
65c36f2c93cb7a97849df38a,6588e10fdbd1e21ccaede8f9,"Most cats are lactose intolerant, and milk can cause painful stomach cramps and diarrhea. It is best to avoid milk and just give your cat standard, clean, cool drinking water.",cat,False,2024-02-07T11:53:16.653Z,2024-02-07T11:53:16.653Z,0,,0
